Time [ms],Thrust [N],Torque [Nm]
63822,-26.12,-0.2425
63919,-26.17,-0.2480
64016,-26.20,-0.2600
64113,-26.32,-0.2574
64210,-26.70,-0.2530
64307,-26.89,-0.2519
64404,-26.88,-0.2519
64501,-26.88,-0.2528
64598,-26.93,-0.2536
64696,-26.96,-0.2544
64792,-26.96,-0.2612
64889,-27.03,-0.2687
64986,-27.24,-0.2628
65084,-27.40,-0.2613
65180,-27.44,-0.2616
65277,-27.48,-0.2605
65374,-27.48,-0.2598
65472,-27.48,-0.2595
65568,-27.48,-0.2600
65665,-27.48,-0.2615
65763,-27.53,-0.2624
65860,-27.58,-0.2609
65956,-27.58,-0.2596
66053,-27.55,-0.2588
66151,-27.56,-0.2589
66248,-27.59,-0.2585
66344,-27.58,-0.2580
66441,-27.57,-0.2586
66539,-27.58,-0.2603
66636,-27.59,-0.2613
66732,-27.58,-0.2607
66830,-27.55,-0.2620
66927,-27.51,-0.2686
67024,-27.57,-0.2683
67120,-27.81,-0.2649
67218,-28.05,-0.2637
67315,-28.23,-0.2635
67412,-28.32,-0.2631
67508,-28.35,-0.2629
67606,-28.39,-0.2629
67703,-28.42,-0.2638
67800,-28.42,-0.2628
67898,-28.41,-0.2633
67994,-28.41,-0.2713
68091,-28.54,-0.2740
68188,-28.88,-0.2707
68286,-29.16,-0.2708
68382,-29.35,-0.2709
68479,-29.45,-0.2711
68577,-29.47,-0.2770
68674,-29.45,-0.2862
68770,-29.58,-0.2812
68867,-29.87,-0.2786
68965,-30.02,-0.2778
69062,-30.08,-0.2788
69158,-30.16,-0.2804
69255,-30.27,-0.2839
69353,-30.43,-0.2926
69450,-30.80,-0.2889
69546,-31.20,-0.2879
69644,-31.30,-0.2949
69741,-31.40,-0.3046
69838,-31.84,-0.2996
69934,-32.35,-0.3034
70032,-32.53,-0.3118
70129,-32.69,-0.3078
70226,-33.01,-0.3048
70322,-33.16,-0.3047
70420,-33.24,-0.3095
70517,-33.27,-0.3188
70614,-33.33,-0.3156
70711,-33.65,-0.3134
70808,-33.94,-0.3115
70905,-34.02,-0.3107
71002,-34.01,-0.3107
71099,-33.98,-0.3119
71196,-33.98,-0.3128
71293,-33.98,-0.3197
71390,-33.96,-0.3269
71487,-34.12,-0.3241
71584,-34.34,-0.3231
71681,-34.45,-0.3329
71779,-34.49,-0.3389
71875,-34.65,-0.3327
71972,-34.84,-0.3324
72069,-34.91,-0.3340
72167,-34.94,-0.3343
72263,-34.95,-0.3425
72360,-34.96,-0.3513
72457,-35.72,-0.3484
72555,-36.96,-0.3468
72651,-37.67,-0.3502
72748,-37.83,-0.3575
72846,-38.16,-0.3568
72942,-38.68,-0.3543
73039,-39.10,-0.3550
73136,-39.24,-0.3578
73234,-39.25,-0.3675
73330,-39.47,-0.3645
73427,-40.02,-0.3629
73524,-40.31,-0.3634
73622,-40.46,-0.3656
73718,-40.55,-0.3708
73815,-40.53,-0.3760
73913,-40.71,-0.3827
74010,-41.58,-0.3794
74106,-41.83,-0.3772
74203,-41.87,-0.3789
74301,-41.87,-0.3801
74398,-41.84,-0.3795
74494,-41.80,-0.3783
74591,-41.81,-0.3806
74689,-41.93,-0.3895
74786,-42.10,-0.3925
74882,-42.37,-0.3899
74980,-42.63,-0.3968
75077,-42.77,-0.4067
75174,-42.96,-0.4024
75270,-43.36,-0.4010
75368,-43.55,-0.4016
75465,-43.58,-0.4028
75562,-43.55,-0.4099
75658,-43.72,-0.4179
75756,-44.16,-0.4174
75853,-44.42,-0.4173
75950,-44.58,-0.4159
76047,-44.67,-0.4178
76144,-44.70,-0.4236
76241,-44.78,-0.4300
76338,-44.91,-0.4277
76435,-45.22,-0.4249
76532,-45.40,-0.4308
76629,-45.38,-0.4412
76727,-45.50,-0.4376
76823,-45.89,-0.4463
76920,-46.08,-0.4513
77017,-46.33,-0.4458
77114,-46.74,-0.4439
77211,-46.71,-0.4423
77308,-46.71,-0.4434
77405,-46.75,-0.4451
77502,-46.81,-0.4460
77599,-46.89,-0.4474
77696,-46.92,-0.4473
77794,-46.80,-0.4549
77890,-46.76,-0.4675
77987,-46.96,-0.4631
78084,-47.38,-0.4620
78182,-47.54,-0.4656
78278,-47.55,-0.4765
78375,-47.58,-0.4740
78472,-47.96,-0.4700
78570,-48.28,-0.4695
78666,-48.57,-0.4697
78763,-48.62,-0.4703
78861,-48.73,-0.4709
78958,-48.96,-0.4719
79054,-49.06,-0.4709
79151,-49.09,-0.4700
79249,-49.11,-0.4747
79346,-49.12,-0.4870
79442,-49.27,-0.4933
79539,-49.68,-0.4997
79637,-50.18,-0.4975
79733,-50.74,-0.5009
79830,-51.02,-0.5123
79928,-51.15,-0.5097
80025,-51.68,-0.5070
80121,-52.08,-0.5119
80218,-52.49,-0.5247
80316,-52.98,-0.5232
80413,-53.39,-0.5213
80509,-53.64,-0.5214
80606,-53.70,-0.5175
80704,-53.67,-0.4979
80801,-53.69,-0.4809
80897,-53.69,-0.4790
80995,-53.64,-0.4813
81092,-53.59,-0.4844
81189,-53.53,-0.4974
